ret(t-2),ret(t-1),ret(t),norm,kk
-5.68761,8.53056,-0.15525,1.51273,
8.53056,-0.15525,-1.13066,1.52152,
-0.15525,-1.13066,-4.94068,0.889232,
-1.13066,-4.94068,-5.00197,1.01809,
-4.94068,-5.00197,2.78213,1.01737,
-5.00197,2.78213,2.9973,1.37165,
2.78213,2.9973,0.166542,1.47923,
2.9973,0.166542,4.48469,1.40524,
0.166542,4.48469,0.74757,1.65666,
4.48469,0.74757,-1.83297,1.72371,
0.74757,-1.83297,-3.46745,1.15668,
-1.83297,-3.46745,0.561761,1.1663,
-3.46745,0.561761,1.26899,1.16708,
0.561761,1.26899,-0.08628,1.2303,
1.26899,-0.08628,0.65758,1.13442,
-0.08628,0.65758,-2.81163,1.11876,
0.65758,-2.81163,0.035542,1.10865,
-2.81163,0.035542,2.9114,1.0623,
0.035542,2.9114,0.894739,0.856278,
2.9114,0.894739,10.9979,0.975162,
0.894739,10.9979,3.45288,0.974067,
10.9979,3.45288,-2.91407,1.00567,
3.45288,-2.91407,4.53901,0.999205,
-2.91407,4.53901,1.94467,1.1451,
4.53901,1.94467,3.24269,1.5556,
1.94467,3.24269,4.1989,1.35006,
3.24269,4.1989,-1.39421,1.4924,
4.1989,-1.39421,6.31014,1.48834,
-1.39421,6.31014,3.62598,1.57572,
6.31014,3.62598,4.13461,2.08705,
3.62598,4.13461,9.51847,1.90435,
4.13461,9.51847,11.7549,2.13051,
9.51847,11.7549,4.89933,2.08324,
11.7549,4.89933,6.235,1.76777,
4.89933,6.235,-10.1523,1.60957,
6.235,-10.1523,4.06979,1.594,
-10.1523,4.06979,6.35167,1.54065,
4.06979,6.35167,23.1545,1.05275,
6.35167,23.1545,15.9339,1.05275,
23.1545,15.9339,-18.1391,0.961399,
15.9339,-18.1391,1.21219,0.961399,
-18.1391,1.21219,-21.8252,0.961399,
1.21219,-21.8252,17.9519,0.961399,
-21.8252,17.9519,9.95359,0.961399,
17.9519,9.95359,-19.3435,0.961399,
9.95359,-19.3435,-3.1887,0.95969,
-19.3435,-3.1887,10.6214,0.590302,
-3.1887,10.6214,7.79252,0.808308,
10.6214,7.79252,1.45297,2.12947,
7.79252,1.45297,2.30941,1.30592,
1.45297,2.30941,-1.63882,1.30592,
2.30941,-1.63882,-4.44721,0.951215,
-1.63882,-4.44721,7.67725,1.17136,
-4.44721,7.67725,-26.576,1.17136,
7.67725,-26.576,-0.184167,1.00546,
-26.576,-0.184167,0.541414,2.92187,
-0.184167,0.541414,-39.1492,2.97642,
0.541414,-39.1492,-105.309,2.8721,
-39.1492,-105.309,2.58967,2.87219,
-105.309,2.58967,20.008,2.80438,
2.58967,20.008,-4.31421,2.61446,
20.008,-4.31421,-6.70079,3.57792,
-4.31421,-6.70079,13.9247,3.57792,
-6.70079,13.9247,-9.29398,3.37608,
13.9247,-9.29398,-1.1606,3.21331,
-9.29398,-1.1606,2.93716,3.21723,
-1.1606,2.93716,20.5661,2.53222,
2.93716,20.5661,13.0988,2.633,
20.5661,13.0988,5.33925,2.80464,
13.0988,5.33925,13.032,3.65063,
5.33925,13.032,-22.4309,4.05041,
13.032,-22.4309,-25.8527,7.35572,
-22.4309,-25.8527,4.57673,7.4208,
-25.8527,4.57673,3.51643,8.00461,
4.57673,3.51643,-2.00843,8.08386,
3.51643,-2.00843,2.44303,8.21684,
-2.00843,2.44303,-21.9764,4.70951,
2.44303,-21.9764,-15.6215,4.69737,
-21.9764,-15.6215,-15.3538,13.7012,
-15.6215,-15.3538,-28.3777,14.1128,
-15.3538,-28.3777,-11.5248,23.2112,
-28.3777,-11.5248,6.39116,32.9232,
-11.5248,6.39116,0.390667,25.202,
6.39116,0.390667,17.3307,22.823,
0.390667,17.3307,-0.090463,27.186,
17.3307,-0.090463,-1.60559,29.7131,
-0.090463,-1.60559,-11.3491,30.0077,
-1.60559,-11.3491,-5.6861,30.7286,
-11.3491,-5.6861,-6.38087,25.4782,
-5.6861,-6.38087,9.17777,25.4782,
-6.38087,9.17777,-7.92547,25.4121,
9.17777,-7.92547,0.076,24.0416,
-7.92547,0.076,2.93824,21.7253,
0.076,2.93824,-6.48374,24.2197,
2.93824,-6.48374,-39.0103,27.3597,
-6.48374,-39.0103,-9.627,27.3767,
-39.0103,-9.627,-4.53067,27.5938,
-9.627,-4.53067,5.88252,26.1713,
-4.53067,5.88252,-8.34732,25.8665,
5.88252,-8.34732,-1.84794,23.8003,
-8.34732,-1.84794,-4.10141,22.7514,
-1.84794,-4.10141,10.6328,23.5464,
-4.10141,10.6328,37.8492,22.969,
10.6328,37.8492,2.27104,22.969,
37.8492,2.27104,12.1849,22.9507,
2.27104,12.1849,-15.11,23.9646,
12.1849,-15.11,7.83967,23.9646,
-15.11,7.83967,3.99417,23.9646,
7.83967,3.99417,14.425,25.1942,
3.99417,14.425,2.59497,23.2137,
14.425,2.59497,-5.50869,24.8052,
2.59497,-5.50869,-0.390729,23.6956,
-5.50869,-0.390729,-8.03314,23.6945,
-0.390729,-8.03314,1.27005,22.5424,
-8.03314,1.27005,8.79714,21.5779,
1.27005,8.79714,3.43005,21.1976,
8.79714,3.43005,0.996201,20.7384,
3.43005,0.996201,-2.02957,20.7384,
0.996201,-2.02957,7.99485,24.4354,
-2.02957,7.99485,8.55827,26.2294,
7.99485,8.55827,11.11,26.536,
8.55827,11.11,5.53917,20.2556,
11.11,5.53917,-1.36362,13.3225,
5.53917,-1.36362,1.05595,13.323,
-1.36362,1.05595,-1.79233,10.4588,
1.05595,-1.79233,0.779167,10.3617,
-1.79233,0.779167,-4.20733,9.34475,
0.779167,-4.20733,-4.04233,6.15543,
-4.20733,-4.04233,-11.4492,5.3796,
-4.04233,-11.4492,6.11072,6.58473,
-11.4492,6.11072,0.298776,6.53722,
6.11072,0.298776,-15.2851,6.63015,
0.298776,-15.2851,-1.29102,6.63173,
-15.2851,-1.29102,-7.22928,6.57606,
-1.29102,-7.22928,10.3565,5.96835,
-7.22928,10.3565,-3.41209,8.99994,
10.3565,-3.41209,5.12451,9.11992,
-3.41209,5.12451,4.74788,6.24206,
5.12451,4.74788,-3.40805,6.42971,
4.74788,-3.40805,1.40545,5.34937,
-3.40805,1.40545,-9.14428,5.32266,
1.40545,-9.14428,-15.9604,5.49905,
-9.14428,-15.9604,2.53258,3.90395,
-15.9604,2.53258,2.81656,4.01187,
2.53258,2.81656,-3.19823,4.02922,
2.81656,-3.19823,7.83167,4.40745,
